,Company,Industry,CEO,Company Size,Revenue
424,National Grid Corporation of the Philippines,"Energy, Mining & Utilities",,"1001 to 5,000",
425,Philippine Digital Asset Exchange (PDAX),,,,
426,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
427,"Trends Group, Inc.",Hotels & Travel Accommodation,,,
428,UTEL University,Education,,,
429,Enshored,Telecommunications,,,
430,"Pantheon Systems, Inc",Information Technology,,"501 to 1,000",
431,Oceniare General Contracting Corporation,,,,
432,LICA Land,Property Management,,,
433,Novare Technologies Inc,,,,
434,Ben Edictio,,,,
435,"Essilor Philippines Optical Distribution, Inc.",,,,
436,China Construction Front General Development Corporation,,,,
437,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
438,Code and Theory,,,,
439,Emerson,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
440,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
441,Mabuhay Energy Corporation,,,11 to 50,
442,"HawodTech Solutions, Inc.",,,,
443,Royal HaskoningDHV,Management & Consulting,,"5,001 to 10,000",P500 million to P1 billion
444,Encora Inc.,Information Technology,Venu Raghavan,"5,001 to 10,000",P100 million to P500 million
445,Mevbuilt Inc,"Construction, Repair & Maintenance Services",,,
446,SP Solutions,Architectural & Engineering Services,,,
447,The Dairy Farm Company Limited ROHQ,,,,
448,The Dairy Farm Company Limited ROHQ,,,,
449,Diversify Intelligent Staffing Solutions Inc,,,,
450,HCM Nexus Consulting Inc,Management & Consulting,,,
451,SC MEGAWORLD CONSTRUCTION AND DEVELOPMENT,,,51 to 200,
452,Nivoda,Retail & Wholesale,,,
453,LICA Land,Property Management,,,
454,Monroe Consulting Group Philippines,,,,
455,Asticom,Human Resources & Staffing,,,
456,Fast Services Corporation,Transportation & Logistics,,"5,001 to 10,000",
457,Asticom,Human Resources & Staffing,,,
458,Med-Metrix,Hospitals & Health Clinics,,51 to 200,
459,"Integrated Computer Systems, Inc.",Information Technology,,,
460,Broadridge,Financial Services,Tim Gokey,"more than 10,000",P5 million to P25 million
461,CARDIOSOURCE MEDICAL EQUIPMENT INC.,,,,
462,IBM Business Services inc,Information Technology,Arvind Krishna,"more than 10,000",more than $10B (USD)
463,"Insight Enterprises, Inc",Information Technology,Joyce Mullen,"more than 10,000",P5 billion to P10 billion
464,Elabram Systems,Information Technology,,,
465,Shopee,Information Technology,,"5,001 to 10,000",P5 million to P25 million
466,Stealth Ventures Corporation,,,,
467,"The Table Group, Inc.",Food and Beverages,,"1001 to 5,000",
468,Sarisuki Stores Inc.,,,,
469,"ActiveOne Health, Inc.",2004,,51 to 200,
470,Elabram,Telecommunications,,,
471,MedGrocer,,,,
472,Manila Water Philippine Ventures,,,,
473,Red Mountain Konstruct Inc.,,,,
474,Excelitas Technologies,Manufacturing,"David Nislick, Ph.D. Chief Executive Officer","5,001 to 10,000",P1 billion to P5 billion
475,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
476,Signant Health,Information Technology,Roger Smith,"1001 to 5,000",P1 billion to P5 billion
477,Lexie Staffing & Business Consulting,,,,
478,Alight,HR Consulting,Stephan Scholl,"more than 10,000",
479,Ascentis Pte Ltd,Information Technology,,,
480,Hogarth Worldwide,Retail & Wholesale,Richard Glasson ,"1001 to 5,000",
481,SC Homes,,,,
482,Asticom,Human Resources & Staffing,,,
483,Digital Consulting PH,Human Resources and Staffing,,less than 10,
484,Elabram Systems,Information Technology,,,
485,Payoneer,Real Estate,,,
486,DATEM,"Construction, Repair & Maintenance Services",,,
487,Pag-Asa Steel,Manufacturing,,,
488,Unilever,Retail & Wholesale,Paul Polman,"more than 10,000",more than $10B (USD)
489,Hunter's Hub Inc.,HR Consulting,,,
490,Hunter's Hub Inc.,HR Consulting,,,
491,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
492,LEGEND HOTELS INTERNATIONAL CORPORATION,Hotels & Travel Accommodation,,,
493,LEGEND HOTELS INTERNATIONAL CORPORATION,Hotels & Travel Accommodation,,,
494,Kawasaki Motors (Phils.) Corporation,Consumer Product Manufacturing,,,
495,Eastvantage Business Solutions Inc.,Information Technology,,,
496,CCT CONSTRUCTORS CORPORATION,,,,
497,Abyan MGT. Services Corp,,,,
498,FactSet Philippines Inc,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
499,RCG Global Services,Property Management,,"1001 to 5,000",P25 million to P100 million
500,Teletech Customer Care Management Philippiness Inc,Management & Consulting,Kenneth Tuchman,"more than 10,000",P1 billion to P5 billion
501,Solaire Resort and Casino,,,"5,001 to 10,000",
502,Maynilad,,,,
503,Philip Morris International,Manufacturing,Jacek Olczak,"more than 10,000",more than $10B (USD)
504,Mega Global,Manufacturing,,,
505,"SANDZ SOLUTIONS PHILIPPINES, INC.",,,,
506,Fluor Corporation,"Construction, Repair & Maintenance Services",Alan Boeckmann,"more than 10,000",more than $10B (USD)
507,"Xurpas Enterprise, Inc.",,,,
508,"Xurpas Enterprise, Inc.",,,,
509,ING Business Shared Services B.V.,,,,
510,Satellite Office Solutions Pty Ltd,,,,
511,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
512,Strategic Networks Inc,,,,
513,zendesk,"Construction, Repair & Maintenance Services",Mikkel Svane,"1001 to 5,000",P100 million to P500 million
514,Hindustan Unilever,Retail & Wholesale,Sanjiv Mehta,,
515,Arcadis,Management & Consulting,Peter Oosterveer,"more than 10,000",P1 billion to P5 billion
516,MicroSourcing,,,,
517,Deltek Systems,Information Technology,Mike Corkery,"1001 to 5,000",P100 million to P500 million
518,AECOM,"Construction, Repair & Maintenance Services",Troy Rudd ,"more than 10,000",more than $10B (USD)
519,Remote Staff Inc,Software Development,,,
520,Confidential,Pharmaceutical,David Rombro,"501 to 1,000",
521,Novare Technologies Inc,,,,
522,Motortrade Nationwide Corporation,Retail & Wholesale,,"1001 to 5,000",
523,HILTI,"Construction, Repair & Maintenance Services",Christoph Loos,"more than 10,000",P1 billion to P5 billion
524,RELISH GROUP,Catering & Food Service Contractors,,,
525,Jacobs,Architectural & Engineering Services,Steven J. Demetriou,"more than 10,000",more than $10B (USD)
526,Lambert Williams Logistics Inc,,,,
527,IT Americano Inc,Information Technology,,51 to 200,
528,Syrex Corporation,,,,
529,Majorel Corporate,Telecommunications,Fara Haron,"more than 10,000",
530,Megawide Construction Corporation,,,,
531,TotalPower Inc.,,,,
532,Talentium Inc,Human Resources & Staffing,,,
533,HausTalk Inc.,,,,
534,HR Primo Management Services,Business Consulting,,,
535,Emerson,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
536,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
537,Peak Support,Shipping & Trucking,,,
538,Peak Support,Shipping & Trucking,,,
539,TE Connectivity,Manufacturing,Terrence Curtin,"more than 10,000",more than $10B (USD)
540,Onward Worldwide Management & Consultancy,Management & Consulting,,51 to 200,
541,ALL ABOUT PEOPLE CONSULTING,,,,
542,Hunter's Hub Inc.,HR Consulting,,,
543,HLH Recruitment,Human Resources & Staffing,,,
544,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
545,BlackCoders Group Inc.,,,,
546,Royal HaskoningDHV,Management & Consulting,,"5,001 to 10,000",P500 million to P1 billion
547,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
548,"Ekkremis Solutions, Inc.",,,,
549,Centric Group,Software Development,,"1001 to 5,000",P500 million to P1 billion
550,TP ICAP,,,,
551,Shipwire,Retail & Wholesale,,51 to 200,P5 million to P25 million
552,Monroe Consulting Group Philippines,,,,
553,Gomeco Group of Companies,,,51 to 200,
554,Curo Teknika Inc.,Telecommunications,,"1001 to 5,000",
555,"International Elevator & Equipment, Inc.","Construction, Repair & Maintenance Services",,"1001 to 5,000",P1 billion to P5 billion
556,Manulife,Financial Services,Roy Gori,"more than 10,000",P25 million to P100 million
557,"Columbia International Food Products, Inc.",Food & Beverage Manufacturing,,51 to 200,
558,Home Credit,Financial Services,,"more than 10,000",P500 million to P1 billion
559,Manulife,Financial Services,Roy Gori,"more than 10,000",P25 million to P100 million
560,Hunter's Hub Inc.,HR Consulting,,,
561,KTP Philippines ROHQ,,,,
562,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
563,IT Group Inc.,Software Development,,,
564,Softvision,Information Technology Support Services,,"1001 to 5,000",P1 billion to P5 billion
565,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
566,TELUS International,Information Technology,Jeff Puritt,"more than 10,000",
567,"Phil-Data Business Systems, Inc.",Staffing & Subcontracting,,"501 to 1,000",P1 billion to P5 billion
568,IBM,Information Technology,Arvind Krishna,"more than 10,000",more than $10B (USD)
569,AIA,Insurance,Damien Mu,"501 to 1,000",
570,Cognizant,Information Technology,"Brian Humphries, Chief Executive Officer","more than 10,000",P5 billion to P10 billion
571,Deloitte,Management & Consulting,Punit Renjen,"more than 10,000",P1 billion to P5 billion
572,Emapta,Business Consulting,Tim Vorbach,"5,001 to 10,000",
573,Ninja Van,Transportation & Logistics,Lai Chang Wen,"501 to 1,000",P5 million to P25 million
574,Citi,Financial Services,Jane Fraser ,"more than 10,000",more than $10B (USD)
575,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
576,IBM Business Services inc,Information Technology,Arvind Krishna,"more than 10,000",more than $10B (USD)
577,Zendesk,"Construction, Repair & Maintenance Services",Mikkel Svane,"1001 to 5,000",P100 million to P500 million
578,TELUS International,Information Technology,Jeff Puritt,"more than 10,000",
579,Fluor Corporation,"Construction, Repair & Maintenance Services",Alan Boeckmann,"more than 10,000",more than $10B (USD)
580,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
581,Michael Page,Human Resources & Staffing,"Steve Ingham,Chief Executive Officer at PageGroup.","5,001 to 10,000",P500 million to P1 billion
582,TELUS International,Information Technology,Jeff Puritt,"more than 10,000",
583,Riofil Corporation,Construction,,,
584,"Fujian Yongfu Power Engineering Co., Ltd. / Emergy Transform Development Corporation",,,,
585,Slord Development Corporation,,,,
586,GHD,Retail & Wholesale,Ashley Wright,"more than 10,000",P1 billion to P5 billion
587,RELISH GROUP,Catering & Food Service Contractors,,,
588,COMMSEC INC,Telecommunications,,,
589,IThinkWeb Corporation,,,,
590,PhilSurv,,,,
591,Anvic Construction,,,,
592,"Teragrail Geology & Geotechnics Construction, Inc.",,,,
593,Xurpas Enterprise,,,,
594,A.C.Ong Consulting Inc.,,,,
595,Snappr,Media & Communication,,,
596,Cebu Pacific,Human Resources & Staffing,,,
597,MattGelo Corporation,,,,
598,EURO TOWERS INTERNATIONAL,,,,
599,ONE MIDORI ASIA INC.,,,,
600,Flat Planet,,,,
601,QBE,Insurance,,"more than 10,000",more than $10B (USD)
602,Philippine Business for Social Progress,,,201 to 500,
603,Matimco Inc.,,,,
604,Sprout Solutions PH,Information Technology,,,
605,Globelise,Human Resources & Staffing,,less than 10,less than $1M (USD)
606,AXA,Insurance,Thomas Buberl,"more than 10,000",more than $10B (USD)
607,"John Clements Consultants, Inc.",Management & Consulting,,"1001 to 5,000",
608,Universal Robina Corporation,Human Resources & Staffing,,,
609,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
610,AIA,Insurance,Damien Mu,"501 to 1,000",
611,Maersk,Transportation & Logistics,Søren Skou,"more than 10,000",more than $10B (USD)
612,Abbott Laboratories,Healthcare,Robert Ford,"more than 10,000",more than $10B (USD)
613,Philippine Span Asia Carrier Corp,,,less than 10,
614,Universal Access and Systems Solutions Inc,,,,
615,Globelise,Human Resources & Staffing,,less than 10,less than $1M (USD)
616,Ben Edictio,,,,
617,Questronix Corporation,,,,
618,"Trends Group, Inc.",Hotels & Travel Accommodation,,,
619,"International Elevator and Equipment, Inc","Construction, Repair & Maintenance Services",,"1001 to 5,000",P1 billion to P5 billion
620,GECO Asia,Information Technology,,,
621,Vito Group,Human Resources & Staffing,,,
622,"John Clements Consultants, Inc.",Management & Consulting,,"1001 to 5,000",
623,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
624,Wood Plc,"Energy, Mining & Utilities",Robin Watson,"more than 10,000",more than $10B (USD)
625,Marketplacer,,,51 to 200,
626,Marketplacer,,,51 to 200,
627,Joblu,,,,
628,Coins.ph,Retail & Wholesale,,11 to 50,
629,Lancesoft Philippines Limited Inc.,,,,
630,amdocs,Information Technology,Shuky Sheffer,"1001 to 5,000",P25 million to P100 million
631,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
632,GlobalQuest,Human Resources & Staffing,,,
633,Arclabs Software Solutions Inc,,,,
634,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
635,Data Analytics Ventures Inc. (DAVI),,,,
636,"Asia Select, Inc. (ASI)",,,,
637,EPS Staffing Inc,,,,
638,Standard Systems Water and Wastewater Technologies Inc.,,,,
639,Canva,Media & Communication,Melanie Perkins,51 to 200,P5 million to P25 million
640,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
641,Maine City Property Holding Corp.,Property Management,,,
642,TELUS International,Information Technology,Jeff Puritt,"more than 10,000",
643,Ubiquitous Technologies Philippines Inc,,,,
644,Sprout Solutions PH,Information Technology,,,
645,Millennium Technology Services,Computer Hardware Development,,201 to 500,
646,Sweetchoice Marketing Corporation,,,,
647,Codeninja,2010,,11 to 50,
648,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
649,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
650,Fujitsu,Information Technology,Yoshihiko Masuda,201 to 500,more than $10B (USD)
651,Monark-CAT,Retail & Wholesale,,"1001 to 5,000",
652,ALSTOM,Manufacturing,Henri Poupart-Lafarge ,"more than 10,000",P5 billion to P10 billion
653,"August 99, Inc",Information Technology,,201 to 500,
654,Styrotech Corporation,Information Technology,,less than 10,
655,Launch Potato,Internet & Web Services,Greg Van Horn,51 to 200,P25 million to P100 million
656,Lythaus Lighting Supply,Architectural & Engineering Services,,,
657,Entrego,Transportation & Logistics,,201 to 500,
658,Capitol Steel Corporation,Manufacturing,,201 to 500,
659,Ingram Micro,Information Technology,Alain Monié,"more than 10,000",more than $10B (USD)
660,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
661,Chevron,"Energy, Mining & Utilities",Michael K. Wirth,"more than 10,000",more than $10B (USD)
662,ING,Financial Services,Steven van Rijswijk,"more than 10,000",P25 million to P100 million
663,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
664,Codeninja,2010,,11 to 50,
665,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
666,Hero Teams,Information Technology,,,
667,Security Bank Careers,Financial Services,,,
668,GHL Systems Philippines Inc.,,,,
669,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
670,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
671,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
672,Quincus,"Construction, Repair & Maintenance Services",,,
673,First Circle,Financial Services,,11 to 50,
674,TELUS International,Information Technology,Jeff Puritt,"more than 10,000",
675,Safeway Philtech,,,,
676,Lancesoft Philippines Limited Inc.,,,,
677,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
678,NCSI Philippines,,,,
679,Lancesoft Philippines Limited Inc.,,,,
680,"Deltek, Inc.",Information Technology,Mike Corkery,"1001 to 5,000",P100 million to P500 million
681,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
682,Hunter's Hub Inc.,HR Consulting,,,
683,CBOE,Transportation & Logistics,,,
684,MICRO-D INTERNATIONAL INC.,,,,
685,NPK Medical Trading,,,,
686,International Micro Village Inc.,Information Technology,,11 to 50,
687,"Nexus Technologies, Inc.",,,201 to 500,P1 billion to P5 billion
688,Open Text Corporation,Information Technology,Mark J. Barrenechea,"more than 10,000",P1 billion to P5 billion
689,MICROGENESIS BUSINESS SYSTEMS,,,,
690,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
691,"Viventis Search Asia, Inc",,,,
692,PM Consulting,Media & Communication,,,
693,Merkle,Media & Communication,David Williams,"1001 to 5,000",P100 million to P500 million
694,Spinwell,Human Resources & Staffing,,less than 10,
695,Tan Delta Electric Corporation,"Construction, Repair & Maintenance Services",,,
696,Multistyle Specialist Inc.,,,,
697,J-K Network Manpower Services,,,,
698,EMAPTA,Business Consulting,Tim Vorbach,"5,001 to 10,000",
699,Universal Access and Systems Solutions Inc,,,,
700,Seapac Philippines Inc.,,,,
701,"Trends Group, Inc.",Hotels & Travel Accommodation,,,
702,Home Credit,Financial Services,,"more than 10,000",P500 million to P1 billion
703,ZAPGROUP INC,,,,
704,"Globe Telecom, Inc.",Management & Consulting,,"5,001 to 10,000",
705,Jacobs,Architectural & Engineering Services,Steven J. Demetriou,"more than 10,000",more than $10B (USD)
706,Cebu Pacific,Human Resources & Staffing,,,
707,Acronis,Information Technology,,51 to 200,P25 million to P100 million
708,ING,Financial Services,Steven van Rijswijk,"more than 10,000",P25 million to P100 million
709,Netskope,Information Technology,Sanjay Beri,"1001 to 5,000",P500 million to P1 billion
710,JK Headhunters Inc.,,,,
711,Spinwell,Human Resources & Staffing,,less than 10,
712,Netflix,Media & Communication,Reed Hastings,"5,001 to 10,000",more than $10B (USD)
713,Xceptional International Services and Safety Corporation,,,,
714,Maxim Integrated,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
715,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
716,Vogue Concepts Inc.,Wholesale,,51 to 200,
717,ACESER Corporation,,,,
718,Fluence Energy,2018,,51 to 200,
719,Xceptional International Services and Safety Corporation,,,,
720,Hero Teams,Information Technology,,,
721,Aspiree Inc.,HR Consulting,,,
722,YUXING,"Construction, Repair & Maintenance Services",,51 to 200,
723,"Globe Telecom, Inc.",Management & Consulting,,"5,001 to 10,000",
724,"Globe Telecom, Inc.",Management & Consulting,,"5,001 to 10,000",
725,"Homemark, Inc.",,,"1001 to 5,000",
726,Cardinal Santos Medical Center,,,,
727,EBM Talent Bucket Inc,,,,
728,Onecore Consultancy Inc.,,,,
729,"Multiflex RNC Phils, Inc. (URATEX)",Manufacturing,Natividad Cheng,"5,001 to 10,000",
730,"Alcon Philippines Technologies and Solutions, Inc.",,,,
731,Weave Solutions Inc.,,,,
732,Softvision - North America,Information Technology,,,
733,Home Credit,Financial Services,,"more than 10,000",P500 million to P1 billion
734,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
735,RELX,Information Technology,,,
736,EMAPTA,Business Consulting,Tim Vorbach,"5,001 to 10,000",
737,amdocs,Information Technology,Shuky Sheffer,"1001 to 5,000",P25 million to P100 million
738,"Phil-Data Business Systems, Inc.",Staffing & Subcontracting,,"501 to 1,000",P1 billion to P5 billion
739,Eastvantage Business Solutions,Information Technology,,,
740,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
741,Willow Technology Corporation,,,11 to 50,P1 million to P5 million
742,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
743,hexamatics Consulting Inc,,,,
744,msg global solutions,Information Technology,,"5,001 to 10,000",P1 billion to P5 billion
745,Bentley Systems,Information Technology,Greg Bentley,"1001 to 5,000",P500 million to P1 billion
746,Chevron,"Energy, Mining & Utilities",Michael K. Wirth,"more than 10,000",more than $10B (USD)
747,Tri-Unity Talent Sourcing & HR Services,,,,
748,"Lufthansa Technik Philippines, Inc.",,,,
749,Kempal Construction & Supply Corporation,Construction,,,
750,Kooapps Philippines Corporation,Software Development,,51 to 200,
751,Sunlight Express Airways Corporation,,,,
752,Investagrams,Information Technology,,,
753,Trend Micro,Information Technology,Eva Chen,"5,001 to 10,000",P1 billion to P5 billion
754,Acronis,Information Technology,,51 to 200,P25 million to P100 million
755,AltPayNet,Financial Services,,,
756,Ayuda Business Management Sol Inc,,,,
757,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
758,BSB Junrose Corporation,,,,
759,Security Bank Careers,Financial Services,,,
760,msg global solutions,Information Technology,,"5,001 to 10,000",P1 billion to P5 billion
761,Balsam International,,,,
762,Deloitte,Management & Consulting,Punit Renjen,"more than 10,000",P1 billion to P5 billion
763,Emerson,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
764,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
765,ProSource BPO,Internet and Software,Steve Burns,201 to 500,
766,COMFAC CORPORATION,Construction,,,
767,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
768,Manulife,Financial Services,Roy Gori,"more than 10,000",P25 million to P100 million
769,NOKIA,Telecommunications,Pekka Lundmark,"more than 10,000",more than $10B (USD)
770,TASQ Staffing Solutions,,,,
771,Advantest,Manufacturing,Yoshiaki Yoshida,"1001 to 5,000",P1 billion to P5 billion
772,Arup,Management & Consulting,Alan Belfield,"more than 10,000",P500 million to P1 billion
773,Sanyo Seiki Stainless Steel Corporation,Manufacturing,,201 to 500,
774,"SANDZ SOLUTIONS PHILIPPINES, INC.",,,,
775,"ARKRAY Industry West, Inc.",,,,
776,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
777,"Newton Electrical Equipment Co., Inc",,,,
778,Fujitsu,Information Technology,Yoshihiko Masuda,201 to 500,more than $10B (USD)
779,Chevron,"Energy, Mining & Utilities",Michael K. Wirth,"more than 10,000",more than $10B (USD)
780,Publicis Groupe,Media & Communication,,"more than 10,000",P5 billion to P10 billion
781,JC Piñon Construction Inc.,,,,
782,Vestas,"Energy, Mining & Utilities",Henrik Andersen,"more than 10,000",more than $10B (USD)
783,LeadOrigin,Advertising & Public Relations,,,
784,GAUGE PRECISION ENGINEERING,,,,
785,Premium Infinite Mining Inc.,,,,
786,amdocs,Information Technology,Shuky Sheffer,"1001 to 5,000",P25 million to P100 million
787,Millennium Technology Services,Computer Hardware Development,,201 to 500,
788,Maynilad,,,,
789,Broadridge,Financial Services,Tim Gokey,"more than 10,000",P5 million to P25 million
790,FastJobs Philippines,,,,
791,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
792,GAUGE PRECISION ENGINEERING,,,,
793,AECOM,"Construction, Repair & Maintenance Services",Troy Rudd ,"more than 10,000",more than $10B (USD)
794,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
795,Gavino Trucking and Heavy Equipment Rental Corp,,,,
796,Robert Walters,Human Resources & Staffing,"Robert Walters, CEO","1001 to 5,000",P1 billion to P5 billion
797,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
798,Noventiq,,,,
799,Monoprice Inc.,2002,,51 to 200,P100 million to P500 million
800,Shopee,Information Technology,,"5,001 to 10,000",P5 million to P25 million
801,"WSP Manila, Inc.",,,,
802,Borland Development Corporation,Real Estate,,"501 to 1,000",
803,AECOM,"Construction, Repair & Maintenance Services",Troy Rudd ,"more than 10,000",more than $10B (USD)
804,"Asia Select, Inc.",Human Resources & Staffing,,51 to 200,
805,RELX,Information Technology,,,
806,"devex, incorporated",Construction,,,
807,Infineon Technologies,Manufacturing,Jochen Hanebeck,"more than 10,000",more than $10B (USD)
808,CMTLand Develoment Corporation,,,,
809,New York Global Consultants Inc.,Human Resources & Staffing,,11 to 50,P5 million to P25 million
810,TASQ Staffing Solutions,,,,
811,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
812,RGL Bio Alliance Corp.,,,,
813,INTEGRATED OFFICE SOLOUTIONS,Retail & Wholesale,,,
814,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
815,Maynilad,,,,
816,First Circle,Financial Services,,11 to 50,
817,Weave Solutions Inc.,,,,
818,EBM Talent Bucket Inc.,,,,
819,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
820,Arup,Management & Consulting,Alan Belfield,"more than 10,000",P500 million to P1 billion
821,AECOM,"Construction, Repair & Maintenance Services",Troy Rudd ,"more than 10,000",more than $10B (USD)
822,LSEG (London Stock Exchange Group),Financial Services,David Schwimmer,"more than 10,000",P1 billion to P5 billion
823,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
824,Nordic Semiconductor,Information Technology,,"1001 to 5,000",
825,Bentley Systems,Information Technology,Greg Bentley,"1001 to 5,000",P500 million to P1 billion
826,"Doxa7 Solutions, Inc.",Human Resources & Staffing,,51 to 200,
827,Staizen,Retail & Wholesale,,,
828,Wel Contracting,,,,
829,Sprout Solutions PH,Information Technology,,,
830,"Daikin Airconditioning Philippines, Inc.",,,,
831,Lennor Metier Consulting Philippines,Human Resources & Staffing,,11 to 50,
832,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
833,"Monroe Consulting Phils., Inc.",Human Resources & Staffing,,51 to 200,
834,Cambridge University Press & Assessment,Education,,"1001 to 5,000",P100 million to P500 million
835,"ePLDT, Inc.",,,,
836,Snappr,Media & Communication,,,
837,"Phil-Data Business Systems, Inc.",Staffing & Subcontracting,,"501 to 1,000",P1 billion to P5 billion
838,Insight Timer,Information Technology,,,
839,Global Healthcare Resource Phils Inc,,,,
840,SolarWinds,Information Technology,Sudhakar Ramakrishna,"501 to 1,000",P100 million to P500 million
841,Emerson,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
842,Seven Seven Global Services Inc.,Information Technology,,,
843,ING,Financial Services,Steven van Rijswijk,"more than 10,000",P25 million to P100 million
844,"JustPressOne,inc",Retail & Wholesale,,,
845,NTT Global Networks,,,,
846,RELX,Information Technology,,,
847,NTT Digital Business Solutions,Information Technology,,"more than 10,000",P1 billion to P5 billion
848,ESCA Incorporated,"Construction, Repair & Maintenance Services",,51 to 200,
849,Carlson Innotech Corporation,"Construction, Repair & Maintenance Services",,,
850,TELUS International,Information Technology,Jeff Puritt,"more than 10,000",
851,Marigold Manufacturing Corporation,,,,
852,Power Integrations,Manufacturing,Balu Balakrishnan,"501 to 1,000",P500 million to P1 billion
853,CHAMP Cargosystems,Retail & Wholesale,,51 to 200,P5 million to P25 million
854,JC Piñon Construction Inc.,,,,
855,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
856,WORLD CLASS LAMINATE INC.,,,,
857,J-K Network Manpower Services,,,,
858,Sweetchoice Marketing Corporation,,,,
859,Career Connect,Human Resources & Staffing,,,
860,Merkle DACH,Management & Consulting,,,
861,"DDT Konstract, Inc.","Construction, Repair & Maintenance Services",,"5,001 to 10,000",
862,MediLink Network Inc.,Information Technology,,201 to 500,
863,"Xurpas Enterprise, Inc.",,,,
864,AECOM,"Construction, Repair & Maintenance Services",Troy Rudd ,"more than 10,000",more than $10B (USD)
865,Link Energie Industries Company Inc.,"Construction, Repair & Maintenance Services",,,
